                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5478,                 1.0629,                 2.2063,                 1.4851,                0.28266,                0.22352,                0.18571,                0.07824,                 0.2706,                0.22508,                0.18238,                0.08158,                      0,                      0,                    inf,                      0,               0.008878,               0.008878,               0.008878
                     36,                 1.5168,                 1.0584,                 2.1789,                 1.4694,                 0.3967,                0.28576,                0.25212,                0.13302,                 0.3913,                0.28187,                0.24868,                0.13257,                      0,                      0,                    inf,                      0,               0.008845,               0.008845,               0.008845
                     37,                   1.52,                 1.0565,                 2.1729,                 1.4444,                0.26177,                0.23363,                0.18799,                0.07044,                0.25583,                0.22352,                0.18275,                0.06513,                      0,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     38,                 1.5562,                 1.1094,                 2.1879,                 1.5075,                 0.3291,                0.32009,                0.23107,                0.12746,                 0.3259,                0.31698,                0.22928,                0.13108,                      0,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.4994,                 1.0509,                 2.1646,                 1.4439,                0.22028,                0.16978,                0.12156,                0.04171,                0.24036,                0.17134,                0.12576,                0.04427,                      0,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                  1.534,                 1.0973,                  2.184,                 1.4643,                0.20857,                0.17569,                0.11729,                0.04017,                0.22319,                0.17212,                0.12382,                0.04041,                      0,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                 1.4847,                 1.0607,                 2.1441,                 1.4322,                0.33859,                0.26869,                0.20913,                0.09402,                0.34996,                0.27259,                0.21299,                 0.0948,                      0,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.4773,                 1.0514,                  2.137,                 1.4128,                0.24917,                0.17368,                0.13696,                0.04441,                0.27273,                0.17913,                0.14304,                0.04581,                      0,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.4881,                 1.0737,                 2.1264,                 1.4183,                0.17883,                0.13586,                0.11214,                0.03457,                0.17855,                0.13763,                0.11027,                 0.0317,                      0,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.5252,                  1.088,                 2.1745,                 1.4729,                0.32201,                0.21495,                 0.1794,                0.09633,                0.32318,                0.21573,                0.18038,                0.09634,                      0,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
                     45,                 1.4595,                 1.0153,                 2.1198,                 1.4212,                0.24639,                0.16277,                0.13527,                0.05252,                0.25597,                0.16199,                0.14018,                0.05342,                      0,                      0,                    inf,                      0,               0.008548,               0.008548,               0.008548
                     46,                 1.4204,                 1.0029,                 2.1171,                 1.4012,                0.25234,                0.11215,                0.10377,                0.03401,                 0.2545,                0.11137,                0.10673,                0.03245,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     47,                 1.5162,                 1.0096,                   2.15,                 1.4413,                0.37456,                0.23053,                0.20867,                0.09022,                 0.3695,                0.22741,                0.20696,                0.09003,                      0,                      0,                    inf,                      0,               0.008482,               0.008482,               0.008482
                     48,                 1.4419,                 1.0722,                 2.1262,                  1.424,                0.38277,                0.31542,                0.25233,                0.18033,                0.38277,                0.31542,                0.25258,                0.16831,                      0,                      0,                    inf,                      0,               0.008449,               0.008449,               0.008449
                     49,                  1.442,                 1.0755,                 2.1301,                 1.4138,                 0.3854,                0.30685,                0.25807,                0.17553,                0.38442,                0.30607,                0.25768,                0.16599,                      0,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     50,                 1.4096,                 1.0202,                 2.0896,                 1.3892,                 0.3821,                0.33879,                0.27853,                0.17827,                0.38606,                0.33498,                 0.2773,                0.16474,                      0,                      0,                    inf,                      0,               0.008383,               0.008383,               0.008383
                     51,                  1.408,                 1.0105,                 2.0918,                 1.3849,                0.39951,                0.41044,                0.31178,                0.19273,                0.39799,                0.40888,                0.31146,                0.19795,                      0,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                     52,                 1.3749,                 1.0068,                 2.0613,                 1.3498,                0.25042,                0.24766,                0.16999,                0.05879,                0.23329,                 0.2339,                0.16087,                0.05706,                      0,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     53,                 1.4818,                0.99686,                   2.15,                  1.471,                0.38392,                0.38162,                0.30708,                 0.2015,                0.38313,                0.38084,                0.30743,                0.20498,                      0,                      0,                    inf,                      0,               0.008284,               0.008284,               0.008284
                     54,                 1.4805,                 1.0536,                 2.1449,                 1.4286,                 0.2416,                0.23598,                0.17023,                0.07136,                0.23557,                0.22664,                0.16617,                0.06921,                      0,                      0,                    inf,                      0,               0.008251,               0.008251,               0.008251
                     55,                 1.4118,                 1.0408,                 2.0724,                 1.3649,                0.22744,                0.20171,                0.13902,                0.04926,                0.22919,                0.20327,                0.13895,                0.04723,                      0,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     56,                 1.3894,                0.98235,                 2.0243,                 1.3425,                0.18896,                0.19796,                0.13681,                0.04541,                0.20124,                0.19548,                0.13805,                0.04548,                      0,                      0,                    inf,                      0,               0.008185,               0.008185,               0.008185
                     57,                 1.5259,                0.98476,                 2.1435,                 1.4548,                0.33437,                0.40343,                0.27697,                0.17297,                0.33308,                0.40187,                0.27721,                0.17496,                      0,                      0,                    inf,                      0,               0.008152,               0.008152,               0.008152
                     58,                 1.4517,                 1.0005,                 2.1295,                 1.4117,                0.24564,                 0.2243,                0.15116,                0.04929,                 0.2458,                0.22196,                0.15313,                0.04896,                      0,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     59,                 1.4127,                0.99698,                 2.1026,                 1.3923,                0.25909,                0.14174,                0.10341,                0.02865,                0.23586,                0.14486,                0.09701,                0.02683,                      0,                      0,                    inf,                      0,               0.008086,               0.008086,               0.008086
                     60,                 1.4118,                0.97923,                 2.0756,                 1.3537,                0.23191,                0.14097,                0.09302,                0.02723,                 0.2225,                0.15265,                0.09382,                0.02642,                      0,                      0,                    inf,                      0,               0.008053,               0.008053,               0.008053
                     61,                 1.3791,                  0.997,                 2.0688,                 1.3474,                0.36379,                0.45405,                0.32527,                0.21643,                0.36192,                0.45171,                0.32416,                0.20577,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     62,                 1.3301,                 0.9794,                 2.0459,                 1.3185,                0.34455,                  0.357,                0.28919,                0.13307,                0.34004,                0.35232,                0.28442,                0.12785,                      0,                      0,                    inf,                      0,               0.007987,               0.007987,               0.007987
                     63,                 1.3293,                0.98462,                 2.0276,                 1.3211,                 0.3596,                0.47819,                0.32327,                0.19369,                 0.3555,                0.47274,                0.32025,                0.18164,                      0,                      0,                    inf,                      0,               0.007954,               0.007954,               0.007954
                     64,                 1.3636,                  0.951,                 2.0588,                 1.3611,                0.28914,                0.29361,                0.21852,                0.09373,                0.27917,                0.28349,                0.21189,                0.09048,                      0,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     65,                 1.3562,                 1.0014,                  2.003,                 1.3408,                0.32644,                0.39443,                0.27147,                0.15734,                0.31999,                0.38664,                0.26725,                0.14887,                      0,                      0,                    inf,                      0,               0.007888,               0.007888,               0.007888
                     66,                 1.3964,                0.95132,                 2.0108,                 1.3562,                0.20519,                0.08956,                0.07021,                0.02323,                0.18977,                0.08801,                0.07067,                0.02294,                      0,                      0,                    inf,                      0,               0.007855,               0.007855,               0.007855
                     67,                 1.3654,                0.97713,                  2.039,                 1.3395,                0.26726,                0.32866,                0.21913,                0.09807,                0.26399,                0.31153,                0.21861,                0.09711,                      0,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     68,                 1.4738,                0.99852,                 2.0939,                 1.4182,                0.24025,                0.28505,                 0.2029,                0.09232,                0.23959,                0.28427,                0.20216,                 0.0911,                      0,                      0,                    inf,                      0,               0.007789,               0.007789,               0.007789
                     69,                 1.4618,                 1.0233,                 2.0932,                  1.411,                0.15723,                0.16277,                0.11758,                0.04306,                0.15234,                0.16745,                0.11762,                0.04096,                      0,                      0,                    inf,                      0,               0.007756,               0.007756,               0.007756
                     70,                 1.3968,                0.98795,                 2.0986,                 1.3571,                0.31322,                0.42679,                0.28256,                0.18114,                0.31207,                0.42523,                0.28107,                0.17632,                      0,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     71,                 1.4412,                0.91973,                 2.1304,                 1.4278,                0.22437,                0.33005,                0.18261,                0.06951,                0.21361,                0.33723,                0.17428,                0.06483,                      0,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                     72,                 1.4185,                0.94793,                 2.0529,                  1.356,                0.23797,                0.30296,                0.19349,                0.08938,                0.22983,                0.29984,                0.18945,                0.08721,                      0,                      0,                    inf,                      0,               0.007657,               0.007657,               0.007657
                     73,                 1.3851,                 1.0294,                 2.0885,                 1.3681,                0.29946,                0.33879,                0.23484,                0.11922,                0.29532,                0.33411,                0.23187,                0.11576,                      0,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     74,                 1.3368,                0.98633,                 2.0146,                 1.3114,                0.27882,                0.22508,                0.16718,                0.06673,                 0.2872,                0.22897,                0.16867,                0.06354,                      0,                      0,                    inf,                      0,               0.007591,               0.007591,               0.007591
                     75,                 1.3307,                 1.0266,                 1.9445,                 1.2691,                0.32758,                0.47664,                0.30075,                0.19157,                0.32544,                0.47352,                0.29754,                0.18405,                      0,                      0,                    inf,                      0,               0.007558,               0.007558,               0.007558
                     76,                 1.3466,                 1.0209,                 1.9556,                 1.2802,                0.29991,                0.47196,                0.27356,                0.18081,                0.29843,                0.46963,                0.27199,                0.17976,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     77,                 1.5278,                  1.052,                 2.1626,                 1.4722,                0.23957,                0.30374,                0.17588,                0.07164,                0.22417,                0.29128,                0.16755,                0.06833,                      0,                      0,                    inf,                      0,               0.007492,               0.007492,               0.007492
